Average Close Price (USD),Average Close Price Target (USD),MACD,Stochastics,ATR
441.985,453.88666666666666,-18.736437561314915,0.0,57.740600000000086
453.88666666666666,453.67715999999996,-17.94811819990664,8.196361921775404,42.061929999999904
453.67715999999996,464.48333333333335,-16.552442396083823,8.052080241476425,54.22999999999996
464.48333333333335,457.25942333333336,-13.964109126327546,15.494004982782021,19.81349
457.25942333333336,454.46315333333337,-11.894723833126342,10.519089913436053,14.61611333333326
454.46315333333337,453.73156333333327,-9.92616441803407,8.593372987150977,20.710163333333355
453.73156333333327,445.72951,-7.932104567500453,8.089546373089712,12.961400000000026
445.72951,368.3011666666666,-6.496263336533488,5.913128953557131,15.42677000000009
368.3011666666666,423.42,-10.473565029196891,0.0,80.49393333333336
423.42,428.80666666666673,-8.618944949146737,41.96902764364662,141.47507666666672
