Date,"Article[Sentiment,Magnitude]"
9/5/14,"[[-0.20000000298023224, 6.400000095367432], [0.0, 7.199999809265137], [0.0, 15.399999618530273], [0.0, 1.600000023841858], [-0.10000000149011612, 1.899999976158142], [0.0, 3.799999952316284], [-0.20000000298023224, 13.600000381469727], [0.20000000298023224, 3.4000000953674316], [0.10000000149011612, 13.399999618530273], [-0.10000000149011612, 6.699999809265137]]"
9/6/14,"[[0.4000000059604645, 10.800000190734863], [-0.20000000298023224, 6.699999809265137], [0.0, 7.599999904632568], [-0.10000000149011612, 7.300000190734863], [0.0, 1.7000000476837158], [0.0, 9.0], [0.0, 11.0], [0.0, 9.699999809265137], [0.4000000059604645, 7.199999809265137]]"
9/7/14,"[[0.0, 12.899999618530273], [0.0, 6.199999809265137]]"
9/8/14,"[[0.0, 3.700000047683716], [-0.30000001192092896, 14.800000190734863], [0.0, 18.799999237060547], [-0.10000000149011612, 20.200000762939453], [0.30000001192092896, 12.199999809265137], [0.10000000149011612, 2.9000000953674316], [0.20000000298023224, 3.700000047683716], [0.0, 4.400000095367432], [0.0, 10.300000190734863], [0.20000000298023224, 2.200000047683716]]"
9/9/14,"[[0.10000000149011612, 9.300000190734863], [-0.4000000059604645, 7.5], [0.0, 4.0], [0.0, 12.600000381469727], [0.20000000298023224, 4.699999809265137], [0.10000000149011612, 3.5999999046325684], [-0.10000000149011612, 6.900000095367432], [0.20000000298023224, 13.399999618530273], [0.10000000149011612, 2.700000047683716], [0.0, 6.0]]"
9/10/14,"[[-0.4000000059604645, 2.700000047683716], [0.10000000149011612, 2.700000047683716], [-0.5, 2.799999952316284], [0.0, 3.799999952316284], [0.0, 8.5], [0.0, 5.900000095367432], [-0.10000000149011612, 2.299999952316284], [0.10000000149011612, 4.900000095367432], [0.20000000298023224, 5.800000190734863], [0.0, 5.300000190734863]]"
9/11/14,"[[-0.10000000149011612, 8.699999809265137], [0.0, 5.599999904632568], [0.0, 1.7999999523162842], [0.0, 10.800000190734863], [-0.10000000149011612, 3.4000000953674316], [0.10000000149011612, 4.599999904632568], [-0.20000000298023224, 3.5999999046325684], [0.0, 2.0999999046325684], [0.0, 11.5], [0.20000000298023224, 5.5]]"
9/12/14,"[[0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 3.299999952316284], [0.20000000298023224, 3.299999952316284], [0.0, 2.299999952316284], [-0.10000000149011612, 2.5], [0.30000001192092896, 5.300000190734863], [0.0, 2.9000000953674316], [0.0, 0.0], [0.20000000298023224, 4.099999904632568], [0.0, 4.699999809265137]]"
9/13/14,"[[0.10000000149011612, 13.300000190734863], [0.10000000149011612, 13.399999618530273]]"
9/14/14,"[[-0.10000000149011612, 13.699999809265137], [0.10000000149011612, 3.5999999046325684], [-0.10000000149011612, 10.300000190734863], [-0.4000000059604645, 14.5], [-0.10000000149011612, 25.100000381469727], [0.20000000298023224, 9.399999618530273], [0.20000000298023224, 15.899999618530273], [0.5, 1.600000023841858], [0.30000001192092896, 11.699999809265137], [0.699999988079071, 0.699999988079071]]"
9/15/14,"[[-0.6000000238418579, 1.2999999523162842], [0.0, 1.399999976158142], [0.0, 1.7999999523162842], [0.0, 8.600000381469727], [0.30000001192092896, 5.5], [-0.30000001192092896, 3.299999952316284], [0.4000000059604645, 6.099999904632568], [0.0, 1.2000000476837158], [0.0, 6.300000190734863]]"
9/16/14,"[[-0.30000001192092896, 2.5], [-0.30000001192092896, 3.9000000953674316], [0.0, 1.2000000476837158], [0.0, 6.199999809265137], [0.20000000298023224, 9.899999618530273], [0.10000000149011612, 4.5], [0.4000000059604645, 4.099999904632568], [-0.20000000298023224, 10.800000190734863], [0.0, 4.699999809265137], [0.0, 7.900000095367432]]"
9/17/14,"[[-0.30000001192092896, 5.900000095367432], [0.10000000149011612, 26.200000762939453], [0.0, 1.600000023841858], [0.0, 10.199999809265137], [0.10000000149011612, 1.899999976158142], [-0.4000000059604645, 6.0], [0.0, 12.300000190734863], [0.0, 52.400001525878906], [-0.20000000298023224, 11.800000190734863], [-0.20000000298023224, 3.0]]"
9/18/14,"[[0.0, 3.299999952316284], [-0.20000000298023224, 6.0], [0.0, 4.400000095367432], [0.0, 2.4000000953674316], [0.20000000298023224, 11.300000190734863], [-0.20000000298023224, 9.5], [0.0, 2.4000000953674316], [0.0, 1.0], [0.0, 5.0], [0.0, 2.0999999046325684]]"
9/19/14,"[[-0.30000001192092896, 1.5], [0.0, 5.900000095367432], [0.20000000298023224, 12.5], [-0.30000001192092896, 3.299999952316284], [0.20000000298023224, 10.199999809265137], [0.0, 7.599999904632568], [-0.30000001192092896, 2.5], [0.0, 16.299999237060547], [0.4000000059604645, 7.599999904632568], [0.0, 6.599999904632568]]"
9/20/14,"[[-0.10000000149011612, 9.899999618530273], [0.10000000149011612, 12.0], [0.0, 7.300000190734863], [0.0, 12.600000381469727], [0.10000000149011612, 6.699999809265137], [-0.30000001192092896, 1.7999999523162842], [0.10000000149011612, 3.4000000953674316], [0.10000000149011612, 15.300000190734863], [0.4000000059604645, 5.300000190734863], [0.0, 22.399999618530273]]"
