Date,Articles,"Article[Sentiment,Magnitude]"
09/19/2017,"[[-0.5, 1.7999999523162842], [-0.5, 1.600000023841858], [-0.20000000298023224, 2.9000000953674316], [-0.10000000149011612, 4.800000190734863], [0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 7.900000095367432], [-0.10000000149011612, 6.300000190734863], [-0.10000000149011612, 4.599999904632568], [0.10000000149011612, 3.799999952316284], [-0.10000000149011612, 2.0]]","[[-0.5, 1.7999999523162842], [-0.5, 1.600000023841858], [-0.20000000298023224, 2.9000000953674316], [-0.10000000149011612, 4.800000190734863], [0.20000000298023224, 2.299999952316284], [-0.10000000149011612, 7.900000095367432], [-0.10000000149011612, 6.300000190734863], [-0.10000000149011612, 4.599999904632568], [0.10000000149011612, 3.799999952316284], [-0.10000000149011612, 2.0]]"
09/20/2017,"[[-0.20000000298023224, 10.699999809265137], [-0.30000001192092896, 3.5999999046325684], [0.800000011920929, 0.800000011920929], [-0.10000000149011612, 9.600000381469727], [-0.20000000298023224, 6.099999904632568], [-0.20000000298023224, 9.699999809265137], [0.0, 5.900000095367432], [-0.5, 2.5999999046325684], [-0.30000001192092896, 4.300000190734863], [0.0, 11.199999809265137]]","[[-0.20000000298023224, 10.699999809265137], [-0.30000001192092896, 3.5999999046325684], [0.800000011920929, 0.800000011920929], [-0.10000000149011612, 9.600000381469727], [-0.20000000298023224, 6.099999904632568], [-0.20000000298023224, 9.699999809265137], [0.0, 5.900000095367432], [-0.5, 2.5999999046325684], [-0.30000001192092896, 4.300000190734863], [0.0, 11.199999809265137]]"
09/21/2017,"[[-0.20000000298023224, 4.0], [0.0, 4.300000190734863], [0.0, 15.800000190734863], [0.30000001192092896, 4.900000095367432], [-0.699999988079071, 2.299999952316284], [0.0, 5.0], [0.30000001192092896, 4.900000095367432], [0.0, 15.5], [0.0, 1.2000000476837158], [0.0, 8.600000381469727]]","[[-0.20000000298023224, 4.0], [0.0, 4.300000190734863], [0.0, 15.800000190734863], [0.30000001192092896, 4.900000095367432], [-0.699999988079071, 2.299999952316284], [0.0, 5.0], [0.30000001192092896, 4.900000095367432], [0.0, 15.5], [0.0, 1.2000000476837158], [0.0, 8.600000381469727]]"
09/22/2017,"[[-0.20000000298023224, 11.0], [-0.30000001192092896, 4.699999809265137], [-0.10000000149011612, 7.699999809265137], [-0.30000001192092896, 2.700000047683716], [0.20000000298023224, 1.0], [-0.10000000149011612, 0.6000000238418579], [0.0, 7.199999809265137], [-0.30000001192092896, 6.099999904632568], [0.0, 8.199999809265137], [-0.10000000149011612, 25.399999618530273]]","[[-0.20000000298023224, 11.0], [-0.30000001192092896, 4.699999809265137], [-0.10000000149011612, 7.699999809265137], [-0.30000001192092896, 2.700000047683716], [0.20000000298023224, 1.0], [-0.10000000149011612, 0.6000000238418579], [0.0, 7.199999809265137], [-0.30000001192092896, 6.099999904632568], [0.0, 8.199999809265137], [-0.10000000149011612, 25.399999618530273]]"
09/23/2017,"[[-0.4000000059604645, 4.400000095367432], [-0.5, 3.5], [0.0, 4.400000095367432], [0.0, 4.599999904632568], [-0.10000000149011612, 4.900000095367432], [-0.20000000298023224, 4.099999904632568], [-0.10000000149011612, 3.4000000953674316], [0.0, 14.100000381469727], [0.10000000149011612, 2.4000000953674316], [-0.10000000149011612, 6.599999904632568]]","[[-0.4000000059604645, 4.400000095367432], [-0.5, 3.5], [0.0, 4.400000095367432], [0.0, 4.599999904632568], [-0.10000000149011612, 4.900000095367432], [-0.20000000298023224, 4.099999904632568], [-0.10000000149011612, 3.4000000953674316], [0.0, 14.100000381469727], [0.10000000149011612, 2.4000000953674316], [-0.10000000149011612, 6.599999904632568]]"
09/24/2017,"[[-0.30000001192092896, 2.4000000953674316], [0.0, 14.0], [-0.20000000298023224, 0.20000000298023224], [0.0, 3.0999999046325684], [-0.4000000059604645, 4.699999809265137], [0.20000000298023224, 13.899999618530273], [0.20000000298023224, 20.399999618530273], [0.4000000059604645, 6.099999904632568], [0.10000000149011612, 4.0], [0.0, 7.300000190734863]]","[[-0.30000001192092896, 2.4000000953674316], [0.0, 14.0], [-0.20000000298023224, 0.20000000298023224], [0.0, 3.0999999046325684], [-0.4000000059604645, 4.699999809265137], [0.20000000298023224, 13.899999618530273], [0.20000000298023224, 20.399999618530273], [0.4000000059604645, 6.099999904632568], [0.10000000149011612, 4.0], [0.0, 7.300000190734863]]"
09/25/2017,"[[-0.30000001192092896, 0.8999999761581421], [-0.20000000298023224, 9.5], [0.0, 0.10000000149011612], [0.0, 3.700000047683716], [-0.30000001192092896, 2.5], [0.10000000149011612, 9.300000190734863], [0.0, 4.5], [0.30000001192092896, 0.30000001192092896], [-0.20000000298023224, 5.900000095367432]]","[[-0.30000001192092896, 0.8999999761581421], [-0.20000000298023224, 9.5], [0.0, 0.10000000149011612], [0.0, 3.700000047683716], [-0.30000001192092896, 2.5], [0.10000000149011612, 9.300000190734863], [0.0, 4.5], [0.30000001192092896, 0.30000001192092896], [-0.20000000298023224, 5.900000095367432]]"
09/26/2017,"[[0.0, 3.0999999046325684], [0.0, 4.0], [-0.20000000298023224, 3.0], [0.20000000298023224, 3.799999952316284], [0.0, 0.699999988079071], [-0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 7.900000095367432], [0.10000000149011612, 3.5], [0.0, 4.300000190734863], [-0.10000000149011612, 6.0]]","[[0.0, 3.0999999046325684], [0.0, 4.0], [-0.20000000298023224, 3.0], [0.20000000298023224, 3.799999952316284], [0.0, 0.699999988079071], [-0.4000000059604645, 0.8999999761581421], [-0.10000000149011612, 7.900000095367432], [0.10000000149011612, 3.5], [0.0, 4.300000190734863], [-0.10000000149011612, 6.0]]"
09/27/2017,"[[0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 2.299999952316284], [0.20000000298023224, 1.2000000476837158], [-0.5, 2.700000047683716], [0.0, 1.399999976158142], [0.10000000149011612, 4.0], [0.20000000298023224, 5.0], [-0.20000000298023224, 3.4000000953674316], [0.10000000149011612, 2.0], [0.800000011920929, 0.800000011920929]]","[[0.10000000149011612, 3.0999999046325684], [-0.10000000149011612, 2.299999952316284], [0.20000000298023224, 1.2000000476837158], [-0.5, 2.700000047683716], [0.0, 1.399999976158142], [0.10000000149011612, 4.0], [0.20000000298023224, 5.0], [-0.20000000298023224, 3.4000000953674316], [0.10000000149011612, 2.0], [0.800000011920929, 0.800000011920929]]"
09/28/2017,"[[0.0, 5.900000095367432], [-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 2.5], [-0.5, 4.400000095367432], [-0.5, 4.800000190734863], [0.0, 2.799999952316284], [-0.10000000149011612, 2.0999999046325684], [-0.10000000149011612, 21.600000381469727], [0.0, 5.800000190734863], [-0.10000000149011612, 0.10000000149011612]]","[[0.0, 5.900000095367432], [-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 2.5], [-0.5, 4.400000095367432], [-0.5, 4.800000190734863], [0.0, 2.799999952316284], [-0.10000000149011612, 2.0999999046325684], [-0.10000000149011612, 21.600000381469727], [0.0, 5.800000190734863], [-0.10000000149011612, 0.10000000149011612]]"
